id;codigo;fecha_reserva;estado
1;digitize inasmuch about;2026-02-27T10:02:57;aw gosh from
2;serpentine against;2026-02-27T03:51:50;unbearably
3;beneath;2026-02-27T21:23:39;gum immediately parody
4;tighten;2026-02-27T08:59:21;furthermore furthermore neglect
5;anenst;2026-02-27T11:03:26;pulp so
6;even;2026-02-27T22:10:58;blah troubled traditionalism
7;repeat gee;2026-02-27T06:27:29;by undergo mainstream
8;which;2026-02-27T05:39:34;extract
9;painfully smart;2026-02-27T05:16:06;artistic
10;upbeat shakily unethically;2026-02-27T19:15:13;granny beyond um
